Score, Target, Expression
1, 1, True
2,-1,-(True)
2,-2,~(True)
3,0,~(-(True))
3,2,-(~(True))
4,-3,~(-(~(True)))
4,3,(True)-(~(True))
4,-4,(~(True))<<(True)
5,4,-((~(True))<<(True))
6,-5,~(-((~(True))<<(True)))
6,8,(True)<<((True)-(~(True)))
6,5,(True)-((~(True))<<(True))
6,-8,(~(True))<<(-(~(True)))
6,-6,(~(-(~(True))))<<(True)
6,6,((True)-(~(True)))<<(True)
7,-9,~((True)<<((True)-(~(True))))
7,7,~((~(True))<<(-(~(True))))
7,-7,~(((True)-(~(True)))<<(True))
7,16,(True)<<(-((~(True))<<(True)))
7,-16,(~(True))<<((True)-(~(True)))
8,9,-(~((True)<<((True)-(~(True)))))
8,-17,~((True)<<(-((~(True))<<(True))))
8,15,~((~(True))<<((True)-(~(True))))
8,256,(True)<<((True)<<((True)-(~(True))))
8,32,(True)<<((True)-((~(True))<<(True)))
8,64,(True)<<(((True)-(~(True)))<<(True))
8,-32,(~(True))<<(-((~(True))<<(True)))
8,-12,(~(-(~(True))))<<(-(~(True)))
8,12,((True)-(~(True)))<<(-(~(True)))
8,-10,(~(-((~(True))<<(True))))<<(True)
8,10,((True)-((~(True))<<(True)))<<(True)
9,17,-(~((True)<<(-((~(True))<<(True)))))
9,-15,-(~((~(True))<<((True)-(~(True)))))
9,-256,-((True)<<((True)<<((True)-(~(True)))))
9,-257,~((True)<<((True)<<((True)-(~(True)))))
9,-33,~((True)<<((True)-((~(True))<<(True))))
9,-64,-((True)<<(((True)-(~(True)))<<(True)))
9,-65,~((True)<<(((True)-(~(True)))<<(True)))
9,31,~((~(True))<<(-((~(True))<<(True))))
9,11,~((~(-(~(True))))<<(-(~(True))))
9,-13,~(((True)-(~(True)))<<(-(~(True))))
9,-11,~(((True)-((~(True))<<(True)))<<(True))
9,128,(True)<<(~((~(True))<<(-(~(True)))))
9,65536,(True)<<((True)<<(-((~(True))<<(True))))
9,-512,(~(True))<<((True)<<((True)-(~(True))))
9,-128,(~(True))<<(((True)-(~(True)))<<(True))
9,-24,(~(-(~(True))))<<((True)-(~(True)))
9,-27,(~(-(~(True))))**((True)-(~(True)))
9,24,((True)-(~(True)))<<((True)-(~(True)))
9,27,((True)-(~(True)))**((True)-(~(True)))
9,-18,(~((True)<<((True)-(~(True)))))<<(True)
9,14,(~((~(True))<<(-(~(True)))))<<(True)
9,-14,(~(((True)-(~(True)))<<(True)))<<(True)
10,255,~(-((True)<<((True)<<((True)-(~(True))))))
10,257,-(~((True)<<((True)<<((True)-(~(True))))))
10,33,-(~((True)<<((True)-((~(True))<<(True)))))
10,63,~(-((True)<<(((True)-(~(True)))<<(True))))
10,65,-(~((True)<<(((True)-(~(True)))<<(True))))
10,-31,-(~((~(True))<<(-((~(True))<<(True)))))
10,13,-(~(((True)-(~(True)))<<(-(~(True)))))
10,-129,~((True)<<(~((~(True))<<(-(~(True))))))
10,-65536,-((True)<<((True)<<(-((~(True))<<(True)))))
10,-65537,~((True)<<((True)<<(-((~(True))<<(True)))))
10,512,-((~(True))<<((True)<<((True)-(~(True)))))
10,511,~((~(True))<<((True)<<((True)-(~(True)))))
10,127,~((~(True))<<(((True)-(~(True)))<<(True)))
10,23,~((~(-(~(True))))<<((True)-(~(True))))
10,26,~((~(-(~(True))))**((True)-(~(True))))
10,-25,~(((True)-(~(True)))<<((True)-(~(True))))
10,-28,~(((True)-(~(True)))**((True)-(~(True))))
10,18,-((~((True)<<((True)-(~(True)))))<<(True))
