Score, Target, Expression
1, 1, True
2,-1,-(True)
2,-2,~(True)
3,0,~(-(True))
3,2,-(~(True))
4,-3,~(-(~(True)))
4,3,(True)-(~(True))
5,-4,~((True)-(~(True)))
5,4,(~(True))*(~(True))
6,-5,~((~(True))*(~(True)))
7,5,-(~((~(True))*(~(True))))
7,-6,(~(True))*((True)-(~(True)))
7,-8,(~(True))**((True)-(~(True)))
7,6,(~(-(~(True))))*(~(True))
8,8,-((~(True))**((True)-(~(True))))
8,7,~((~(True))**((True)-(~(True))))
8,-7,~((~(-(~(True))))*(~(True)))
8,16,(~(True))**((~(True))*(~(True)))
8,9,(~(-(~(True))))**(-(~(True)))
9,-9,~(-((~(True))**((True)-(~(True)))))
9,-16,-((~(True))**((~(True))*(~(True))))
9,-17,~((~(True))**((~(True))*(~(True))))
9,-10,~((~(-(~(True))))**(-(~(True))))
9,-27,(~(-(~(True))))**((True)-(~(True)))
9,27,((True)-(~(True)))**((True)-(~(True)))
9,10,(~((~(True))*(~(True))))*(~(True))
10,15,~(-((~(True))**((~(True))*(~(True)))))
10,17,-(~((~(True))**((~(True))*(~(True)))))
10,26,~((~(-(~(True))))**((True)-(~(True))))
10,-28,~(((True)-(~(True)))**((True)-(~(True))))
10,-11,~((~((~(True))*(~(True))))*(~(True)))
10,-15,(True)-((~(True))**((~(True))*(~(True))))
10,-32,(~(True))**(-(~((~(True))*(~(True)))))
10,-12,(~(True))*((~(-(~(True))))*(~(True)))
10,64,(~(True))**((~(-(~(True))))*(~(True)))
10,81,(~(-(~(True))))**((~(True))*(~(True)))
10,12,((True)-(~(True)))*((~(True))*(~(True)))
10,-64,(~((True)-(~(True))))**((True)-(~(True)))
10,25,(~((~(True))*(~(True))))**(-(~(True)))
11,-18,~(-(~((~(True))**((~(True))*(~(True))))))
11,-26,-(~((~(-(~(True))))**((True)-(~(True)))))
11,28,-(~(((True)-(~(True)))**((True)-(~(True)))))
11,11,-(~((~((~(True))*(~(True))))*(~(True))))
11,14,~((True)-((~(True))**((~(True))*(~(True)))))
11,32,-((~(True))**(-(~((~(True))*(~(True))))))
11,31,~((~(True))**(-(~((~(True))*(~(True))))))
11,-65,~((~(True))**((~(-(~(True))))*(~(True))))
11,-81,-((~(-(~(True))))**((~(True))*(~(True))))
11,-82,~((~(-(~(True))))**((~(True))*(~(True))))
11,-13,~(((True)-(~(True)))*((~(True))*(~(True))))
11,63,~((~((True)-(~(True))))**((True)-(~(True))))
11,-25,-((~((~(True))*(~(True))))**(-(~(True))))
11,18,(True)-(~((~(True))**((~(True))*(~(True)))))
11,256,(~(True))**(-((~(True))**((True)-(~(True)))))
11,-14,(~(True))*(~((~(True))**((True)-(~(True)))))
11,-128,(~(True))**(~((~(True))**((True)-(~(True)))))
11,65536,(~(True))**((~(True))**((~(True))*(~(True))))
11,-512,(~(True))**((~(-(~(True))))**(-(~(True))))
11,-125,(~((~(True))*(~(True))))**((True)-(~(True)))
11,36,((~(True))*((True)-(~(True))))**(-(~(True)))
12,-29,~(-(~(((True)-(~(True)))**((True)-(~(True))))))
12,-33,~(-((~(True))**(-(~((~(True))*(~(True)))))))
12,-31,-(~((~(True))**(-(~((~(True))*(~(True)))))))
12,65,-(~((~(True))**((~(-(~(True))))*(~(True)))))
12,80,~(-((~(-(~(True))))**((~(True))*(~(True)))))
12,82,-(~((~(-(~(True))))**((~(True))*(~(True)))))
12,13,-(~(((True)-(~(True)))*((~(True))*(~(True)))))
12,-63,-(~((~((True)-(~(True))))**((True)-(~(True)))))
